VMName,Tag,Scope
"sfo-adm-op01",operations,env
"sfo-adm-op02",operations,env
"sfo-prod-dc01",domain,app
"sfo-prod-dc02",domain,app
"sfo-prod-dc01",production,env
"sfo-prod-dc02",production,env
"sfo-prod-db01",database,app
"sfo-prod-db02",database,app
"sfo-prod-db01",production,env
"sfo-prod-db02",production,env
"sfo-prod-dns01",production,env
"sfo-prod-dns02",production,env
"sfo-prod-fs01",production,env
"sfo-prod-fs02",production,env
"sfo-prod-app01",business,app
"sfo-prod-app02",business,app
"sfo-prod-app01",production,env
"sfo-prod-app02",production,env
